BillID,Priority,Bill Name,Session,Short Description,Bill Description,Bill Endorsement
49,,5/2022 - Article 16 Main Motion,Spring 2022,,Create a minimum depth of required ground floor non-residential space in multifamily buildings that are located in Local Business (L) and General Business (G) Zoning Districts.,YES
50,,5/2022 - Article 17 Main Motion,Spring 2022,,Increase the requirements for electric vehicle-ready parking spaces,YES
51,X,5/2022 - Article 18 Main Motion,Spring 2022,Bicycle Parking Requirements & Regulations,Update minimum Bicycle Parking requirements and Design Regulations,YES
52,,5/2022 - Article 26 Motion to Refer,Spring 2022,,Amend Article 3.16 of the Town's General By-Laws pertaining to the Park and Recreation Commission,NO (Yes on the Main Motion)
53,X,5/2022 - Article 30 Main Motion,Spring 2022,Kent/Station Street Senior Housing Resolution,Resolution lowering the parking requirement at the Kent/Station Street Senior Affordable Housing Development to allow for the project to get built,YES
54,,11/2022 - Article 10 Main Motion,Fall 2022,,Create a new Tree Preservation By-Law,YES
55,,11/2022 - Article 21 Main Motion,Fall 2022,,Petition for a special act regarding betterment loans for residential electrification,YES
56,,11/2022 - Article 23 Main Motion,Fall 2022,,Petition for a special act regarding Community Choice Aggregation,YES
57,,11/2022 - Articel 25 Main Motion,Fall 2022,,Petition for a special act regarding Green Zoning,YES
58,,11/2022 - Article 26 Main Motion,Fall 2022,,Petition for a special act regarding a methane emissions surcharge,YES
59,,11/2022 - Article 28 Main Motion,Fall 2022,,Petition for a special act regarding an emissions reduction fund,YES
60,,11/2022 - Article 29 Main Motion,Fall 2022,,Petition for a special act regarding a gasoline vehicle excise surcharge,YES
61,,11/2022 - Article 11 Main Motion,Fall 2022,,Amend Article 5.3.9 of the Town's General By-Law to extend demolition delay,NO
62,,11/2022 - Article 12 Main Motion,Fall 2022,,Create a new temporary demolition moratorium for residential structures,NO
63,,11/2022 - Article 13 Motion to Refer,Fall 2022,,,YES
64,X,11/2022 - Article 13 Main Motion,Fall 2022,New Design Review Requirements after Demolition Delay,New by-law to require design review after the expiration of a stay of demolition,NO
65,X,11/2022 - Article 40 Main Motion,Fall 2022,Outdoor Pool Study,Resolution regarding a feasibility study for an outdoor pool,n/a
66,X,11/2022 - Article 41 Main Motion,Fall 2022,Affordable Housing Overlay District Study,Resolution regarding an affordable housing overlay district (AHOD) study committee,YES
67,X,5/2023 - Article 7 Bond Item 69 Fisher Amendment,Spring 2023,Effort to Delay/Defund Pierce Rebuild,Budget amendment intended to delay or not fund the Pierce rebuild project,NO
68,X,5/2023 - Article 7 Bond Item 69 Select Board Substitute Motion,Spring 2023,Effort to Underfund Pierce Rebuild,Budget amendment from John VanScoyoc to go against the will of the voters and refuse to authorize the funding capacity for the Pierce School rebuild,YES
69,X,5/2023 - Article 7 Bond Item 69,Spring 2023,Approval to Fund Pierce Rebuild,Approval of Pierce School rebuild funding,YES
70,,5/2023 - Article 8 Main Motion,Spring 2023,,Annual (FY24) Community Preservation Program Budget,YES
71,X,5/2023 - Article 13 Main Motion,Spring 2023,Establish Office of Housing Stability,Article to establish an Office of Housing Stability,YES
72,,5/2023 - Article 14 Main Motion,Spring 2023,,Amend the Town's Inclusionary Zoning by-law to lower the unit threshold for developments that must include onsite affordable housing units,YES
73,,5/2023 - Article 15 Main Motion,Spring 2023,,Amend the Town's General By-Laws to clarify and update votes previously taken regarding the Stretch Code and Specialized Energy Code and add fossil fuel free restrictions in accordance with the MA DOER Demonstration Project,YES
74,,5/2023 - Article 16 Main Motion,Spring 2023,,Create new design and massing requirements to limit options when modifying or rebuilding a home in certain two family districts.,Yes (but really no for T5(NH))
75,,11/2023 - STM4 Article 1 Motion to Refer,Fall 2023,,,NO
76,X,11/2023 - STM4 Article 1 Main Motion,Fall 2023,MBTA Communities Act Compliance Proposal,"Zoning by-law to comply with the state's MBTA Communities Act, legalizing 4 story mixed use buildings on Harvard Street and implementig form based codes.",YES
77,X,11/2023 - Article 6 Main Motion,Fall 2023,Allow Multifamily on More Lots on Corey Hill,Amend Zoning By-Law to change three lots on Mason Terrace to allow multifamily housing,YES
78,,11/2023 - Article 11 Main Motion,Fall 2023,,"Change ""Community Preservation Committee"" to ""Community Preservation Act Committee""",YES
79,X,11/2023 - Article 16 Main Motion,Fall 2023,Rent Stabalization Home Rule Petition,Home Rule Petition to implement rent stabilization and tenant eviction protections,YES
80,,05/2024 - Article 11 Motion to Divide the Question,Spring 2024,,,NO
81,,05/2024 - Article 11 Main Motion,Spring 2024,,Annual (FY25) Community Preservation Act Fund Appropriations,YES
82,,05/2024 - Article 12 Main Motion,Spring 2024,,Accept Chapter 59 Section 5K of the General Laws allowing an expansion of the Senior Tax work off program,YES
83,X,05/2024 - Article 13 Main Motion,Spring 2024,Ease Restrictions on Accessory Dwelling Units,Amend the Town's Zoning By-law to reduce the restrictions for building Accessory Dwelling Units,YES
84,X,05/2024 - Article 14 Main Motion,Spring 2024,Ease Requirements to Install Energy Saving Equipment,Amend the Town's Zoning By-law to reduce the setbacks needed for energy saving devices,YES
85,,11/2024 - Article 7 Motion to Refer,Fall 2024,,Zoning article to cap heights in two family districts to 2.5 stories / Referral to a Committee,NO
86,X,11/2024 - Article 8 Motion to Refer,Fall 2024,Refer for Further Study the Easing of Restrictions on 1 to 2 family Conversions,Make it easier to convert a single family to two family in certain districts / Referral to a committee for further study,NO
87,X,11/2024 - Article 8 Main Motion,Fall 2024,Ease Restriction on 1 to 2 family Conversions,Allow the Zoning Board of Appeals to waive the minimum lot size requirement when granting a special permit for the conversion of single family buildings into two-family units in SC or T Districts,YES
88,X,11/2024 - Article 9 Motion to Refer,Fall 2024,Refer for Further Study Legalizing 3 family homes in 2 family districts,Allow homes in two-family districts to add a third home / Referral to a committee for further study,NO
89,,11/2024 - Article 10 Main Motion,Fall 2024,,Amend the Harvard Street Form-Based Zones to increase the list of allowed exterior materials provide greater flexibility in certain exterior elements and make modifications to comply with state law,YES
90,,11/2024 - Article 11 Main Motion,Fall 2024,,Amend the Harvard Street Form-Based Zones to allow the Planning Board to permit substitutions or modifications to massing façade and architecture standards,YES
91,,11/2024 - Article 14 Motion to Refer,Fall 2024,,Allow separate ownership on same parcel,NO
92,X,11/2024 - Article 15 Main Motion,Fall 2024,Loosen regulations for building ADUs,Amend the Town's Accessory Dwelling Unit regulations to attempt to comply with state ADU guidelines,YES
